ProfileID,ModelCondition,ModelID,Datatype,WESKit
PR-2tdb7F,MC-000130-bX0R,ACH-000130,wes,AGILENT
PR-2tDYpf,MC-000999-JOmJ,ACH-000999,rna,
PR-2TYUx5,MC-000009-Kmv4,ACH-000009,wes,AGILENT
PR-2UB6KF,MC-001100-Ekc7,ACH-001100,wgs,
PR-2uDYZY,MC-000335-5q7T,ACH-000335,wgs,
PR-2v3g3G,MC-000723-XaoY,ACH-000723,rna,
PR-2VAsRM,MC-000972-WC01,ACH-000972,rna,
PR-2VgKnC,MC-000232-q940,ACH-000232,wes,ICE
PR-2vKf8J,MC-000441-N6yZ,ACH-000441,wes,AGILENT
PR-2WACfU,MC-001627-wPx0,ACH-001627,rna,
PR-2WHKnj,MC-000890-eNBf,ACH-000890,wes,AGILENT
PR-2WXnzi,MC-000359-Xkje,ACH-000359,rna,
PR-2WXRlv,MC-001533-SowA,ACH-001533,rna,
PR-2x5Bi2,MC-001703-jAiM,ACH-001703,rna,
PR-2zjQBJ,MC-000447-VLSP,ACH-000447,wes,AGILENT
PR-2zNA9s,MC-002252-KHzG,ACH-002252,wes,AGILENT
PR-30iCKx,MC-000077-BZeg,ACH-000077,wes,AGILENT
PR-30x3GH,MC-000940-41v2,ACH-000940,rna,
PR-31jRAf,MC-000531-xOEq,ACH-000531,wes,AGILENT
PR-33A9G9,MC-000069-L4Ub,ACH-000069,rna,
PR-33eWct,MC-000822-5No9,ACH-000822,wgs,
PR-34luyw,MC-000231-tEoc,ACH-000231,wgs,
PR-35nh9T,MC-002300-fhXY,ACH-002300,wes,AGILENT
PR-36vuIB,MC-000132-D7jg,ACH-000132,rna,
PR-391OtC,MC-000805-uUAU,ACH-000805,rna,
PR-39HBc7,MC-000087-VZnM,ACH-000087,rna,
PR-39ipKV,MC-000372-76mQ,ACH-000372,wes,AGILENT
PR-39zHGy,MC-000442-2s22,ACH-000442,wes,AGILENT
PR-3AAPDM,MC-002002-GZA1,ACH-002002,rna,
PR-3ATZmJ,MC-000597-RDyO,ACH-000597,rna,
PR-3aWe62,MC-000951-mW9M,ACH-000951,wes,AGILENT
PR-3b1cgr,MC-002287-tUNB,ACH-002287,wes,AGILENT
PR-3BJhtr,MC-001699-TiNC,ACH-001699,rna,
PR-3BkIqE,MC-001356-nuAU,ACH-001356,wes,ICE
PR-3C794r,MC-000590-jjkj,ACH-000590,rna,
PR-3cet5z,MC-000649-Hb96,ACH-000649,wes,ICE
PR-3cEXAx,MC-000667-NPwb,ACH-000667,wgs,
PR-3ciTsA,MC-000528-BMri,ACH-000528,wgs,
PR-3clnyl,MC-000989-Dydx,ACH-000989,wes,AGILENT
PR-3CMhX7,MC-000948-TWxM,ACH-000948,rna,
PR-3cTeXa,MC-000967-ncE2,ACH-000967,wgs,
