method,cluster,n_lines,top_tissue,top_tissue_frac,cross_tissue,nearly_pure,breakdown_json
HC_avg_k39,24,12,lung,0.5,False,False,"{""lung"": 0.5, ""thyroid"": 0.4167, ""ovary"": 0.0833}"
HC_avg_k39,25,6,uterus,0.3333333333333333,True,False,"{""uterus"": 0.3333, ""ovary"": 0.3333, ""lung"": 0.1667, ""cervix"": 0.1667}"
HC_avg_k39,26,16,lung,0.25,True,False,"{""lung"": 0.25, ""urinary_tract"": 0.25, ""bone"": 0.125, ""central_nervous_system"": 0.0625, ""ovary"": 0.0625, ""thyroid"": 0.0625, ""breast"": 0.0625, ""pancreas"": 0.0625, ""upper_aerodigestive"": 0.0625}"
HC_avg_k39,27,3,colorectal,0.3333333333333333,True,False,"{""colorectal"": 0.3333, ""lung"": 0.3333, ""bile_duct"": 0.3333}"
HC_avg_k39,28,43,soft_tissue,0.6046511627906976,False,False,"{""soft_tissue"": 0.6047, ""bone"": 0.1628, ""skin"": 0.0698, ""liver"": 0.0465, ""gastric"": 0.0233, ""kidney"": 0.0233, ""peripheral_nervous_system"": 0.0233, ""testis"": 0.0233, ""central_nervous_system"": 0.0233}"
HC_avg_k39,29,1,bone,1.0,False,True,"{""bone"": 1.0}"
HC_avg_k39,30,17,testis,0.35294117647058826,True,False,"{""testis"": 0.3529, ""embryo"": 0.1765, ""uterus"": 0.1765, ""blood"": 0.0588, ""gastric"": 0.0588, ""liver"": 0.0588, ""colorectal"": 0.0588, ""ovary"": 0.0588}"
HC_avg_k39,31,4,upper_aerodigestive,0.5,False,False,"{""upper_aerodigestive"": 0.5, ""lung"": 0.5}"
HC_avg_k39,32,8,lung,0.25,True,False,"{""lung"": 0.25, ""gastric"": 0.25, ""ovary"": 0.125, ""breast"": 0.125, ""upper_aerodigestive"": 0.125, ""colorectal"": 0.125}"
HC_avg_k39,33,136,lung,0.47058823529411764,True,False,"{""lung"": 0.4706, ""peripheral_nervous_system"": 0.2206, ""bone"": 0.1765, ""central_nervous_system"": 0.0368, ""eye"": 0.0147, ""colorectal"": 0.0147, ""uterus"": 0.0147, ""thyroid"": 0.0074, ""adrenal_cortex"": 0.0074, ""cervix"": 0.0074, ""gastric"": 0.0074, ""prostate"": 0.0074, ""pancreas"": 0.0074, ""skin"": 0.0074}"
HC_avg_k39,34,5,pancreas,0.4,True,False,"{""pancreas"": 0.4, ""gastric"": 0.2, ""lung"": 0.2, ""esophagus"": 0.2}"
HC_avg_k39,35,1,soft_tissue,1.0,False,True,"{""soft_tissue"": 1.0}"
HC_avg_k39,36,3,soft_tissue,0.6666666666666666,False,False,"{""soft_tissue"": 0.6667, ""ovary"": 0.3333}"
HC_avg_k39,37,3,esophagus,0.3333333333333333,True,False,"{""esophagus"": 0.3333, ""kidney"": 0.3333, ""breast"": 0.3333}"
