floor_q,n0,upper_cut,lower_cut,rho
0.1,5,0.7,0.02,0.01660514777531364
0.1,50,0.7,0.02,0.01657835454606608
0.1,10,0.7,0.02,0.016566240494704284
0.1,25,0.7,0.02,0.016556283058416634
0.1,5,0.8,0.05,0.016547632044773657
0.1,10,0.8,0.05,0.016509922135052264
0.1,100,0.8,0.05,0.01650457046730712
0.1,50,0.8,0.05,0.016486570669087704
0.1,25,0.8,0.05,0.016483770366982276
0.1,5,0.8,0.02,0.016155962447932666
0.1,10,0.8,0.02,0.016118495030520732
0.1,100,0.8,0.02,0.016115173774377087
0.1,50,0.8,0.02,0.016096814110951922
0.1,25,0.8,0.02,0.016093623720629613
0.05,100,0.5,0.2,0.014340576498702134
0.05,50,0.5,0.2,0.014287405706390139
0.05,100,0.3,0.2,0.014275735882967464
0.05,50,0.3,0.2,0.014241699899181297
0.05,25,0.5,0.2,0.014238600838159112
0.05,5,0.5,0.2,0.014214277465020509
0.05,5,0.3,0.2,0.014212925178123496
0.05,25,0.3,0.2,0.014206949562961787
0.05,10,0.5,0.2,0.014204384061218775
0.05,10,0.3,0.2,0.014199354607052433
0.05,100,0.4,0.2,0.014146799514790476
0.05,50,0.4,0.2,0.014117321894306405
0.05,5,0.4,0.2,0.014095357591361001
0.05,25,0.4,0.2,0.014087168568750797
0.05,10,0.4,0.2,0.014076607465209553
0.05,100,0.6,0.2,0.013892036995530873
0.05,50,0.6,0.2,0.013845229975419022
0.05,25,0.6,0.2,0.013809593904171235
0.05,5,0.6,0.2,0.0137984408144196
0.05,10,0.6,0.2,0.013787164704895336
0.05,100,0.7,0.2,0.013202550032914536
0.05,50,0.7,0.2,0.013138478056686121
0.05,25,0.7,0.2,0.013085750888129062
0.05,10,0.7,0.2,0.013040726434900991
0.05,5,0.7,0.2,0.013034305457701623
0.05,100,0.8,0.2,0.012626137481063232
0.05,50,0.8,0.2,0.012589877368179157
0.05,25,0.8,0.2,0.01256114891174999
0.05,5,0.8,0.2,0.01255099077135596
0.05,10,0.8,0.2,0.012544975839114956
0.05,100,0.3,0.1,0.012340507863090565
0.05,100,0.5,0.1,0.012307018736418023
0.05,50,0.3,0.1,0.012286039916173944
0.05,50,0.5,0.1,0.012243337857718842
0.05,25,0.3,0.1,0.012238750454059328
0.05,5,0.3,0.1,0.012227958520393798
0.05,10,0.3,0.1,0.01221788418641197
0.05,25,0.5,0.1,0.01218797384880003
0.05,100,0.4,0.1,0.01217567024243726
0.05,5,0.5,0.1,0.01215677183291156
0.05,10,0.5,0.1,0.012148988868082283
0.05,50,0.4,0.1,0.012129128407942516
0.05,25,0.4,0.1,0.012088534273714403
0.05,5,0.4,0.1,0.01208430192938417
0.05,10,0.4,0.1,0.012068881585607441
0.05,100,0.5,0.05,0.012024350318882819
0.05,100,0.3,0.05,0.012001528085836575
0.05,50,0.5,0.05,0.011961462921383566
0.05,50,0.3,0.05,0.011942431214614987
0.05,25,0.5,0.05,0.011905763881044812
