model_id,method,cluster,tissue
ach-000509,HC_avg_k24,13,lymphocyte
ach-001193,HC_avg_k24,21,bone
ach-000571,HC_avg_k24,15,central_nervous_system
ach-000391,HC_avg_k24,21,bone
ach-000293,HC_avg_k24,8,uterus
ach-003138,HC_avg_k24,15,central_nervous_system
ach-000532,HC_avg_k24,9,colorectal
ach-000584,HC_avg_k24,8,ovary
ach-001690,HC_avg_k24,9,upper_aerodigestive
ach-000586,HC_avg_k24,21,lung
ach-000944,HC_avg_k24,13,lymphocyte
ach-003149,HC_avg_k24,15,muscle
ach-000561,HC_avg_k24,9,esophagus
ach-001648,HC_avg_k24,9,prostate
ach-000394,HC_avg_k24,21,lung
ach-000954,HC_avg_k24,8,uterus
ach-000204,HC_avg_k24,13,plasma_cell
ach-000160,HC_avg_k24,22,soft_tissue
ach-003460,HC_avg_k24,13,lymphocyte
ach-000989,HC_avg_k24,9,colorectal
ach-001347,HC_avg_k24,9,upper_aerodigestive
ach-000691,HC_avg_k24,7,breast
ach-000268,HC_avg_k24,9,bile_duct
ach-001209,HC_avg_k24,13,lymphocyte
ach-003456,HC_avg_k24,15,skin
ach-000119,HC_avg_k24,15,fibroblast
ach-000379,HC_avg_k24,9,lung
ach-001341,HC_avg_k24,9,cervix
ach-000714,HC_avg_k24,13,plasma_cell
ach-000937,HC_avg_k24,13,blood
ach-000763,HC_avg_k24,13,plasma_cell
ach-002834,HC_avg_k24,15,bone
ach-001673,HC_avg_k24,9,bile_duct
ach-000326,HC_avg_k24,13,blood
ach-000300,HC_avg_k24,3,kidney
ach-002994,HC_avg_k24,13,blood
ach-000901,HC_avg_k24,15,lung
ach-000816,HC_avg_k24,21,lung
ach-000641,HC_avg_k24,13,blood
ach-000511,HC_avg_k24,15,lung
ach-002077,HC_avg_k24,21,lung
ach-000583,HC_avg_k24,13,lymphocyte
ach-000836,HC_avg_k24,9,upper_aerodigestive
ach-000975,HC_avg_k24,15,lung
ach-000109,HC_avg_k24,9,lung
ach-000467,HC_avg_k24,9,colorectal
ach-000712,HC_avg_k24,21,lung
ach-000671,HC_avg_k24,20,liver
ach-000523,HC_avg_k24,21,lung
ach-000864,HC_avg_k24,21,uterus
ach-000726,HC_avg_k24,9,esophagus
ach-000136,HC_avg_k24,21,peripheral_nervous_system
ach-002067,HC_avg_k24,19,bone
ach-000440,HC_avg_k24,13,lymphocyte
ach-002539,HC_avg_k24,9,colorectal
ach-001461,HC_avg_k24,9,colorectal
ach-000890,HC_avg_k24,15,lung
ach-001692,HC_avg_k24,9,upper_aerodigestive
ach-000027,HC_avg_k24,15,central_nervous_system
ach-000562,HC_avg_k24,9,lung
ach-000748,HC_avg_k24,15,bone
ach-001669,HC_avg_k24,13,blood
ach-000834,HC_avg_k24,9,urinary_tract
ach-000565,HC_avg_k24,9,colorectal
ach-000449,HC_avg_k24,23,soft_tissue
ach-000399,HC_avg_k24,21,lung
ach-002080,HC_avg_k24,21,peripheral_nervous_system
ach-000770,HC_avg_k24,13,blood
ach-000710,HC_avg_k24,9,lung
ach-000507,HC_avg_k24,9,gastric
ach-000066,HC_avg_k24,9,lung
ach-000022,HC_avg_k24,9,pancreas
ach-001668,HC_avg_k24,20,embryo
ach-000334,HC_avg_k24,13,lymphocyte
ach-000374,HC_avg_k24,7,breast
ach-000519,HC_avg_k24,13,blood
ach-000908,HC_avg_k24,9,gastric
ach-002003,HC_avg_k24,14,skin
ach-000574,HC_avg_k24,3,ovary
ach-000148,HC_avg_k24,15,breast
ach-002461,HC_avg_k24,15,skin
ach-000646,HC_avg_k24,8,ovary
ach-000314,HC_avg_k24,16,lung
ach-001705,HC_avg_k24,9,breast
ach-000040,HC_avg_k24,15,central_nervous_system
ach-001057,HC_avg_k24,13,lymphocyte
ach-000430,HC_avg_k24,23,ovary
ach-001041,HC_avg_k24,14,skin
ach-001988,HC_avg_k24,14,skin
ach-001977,HC_avg_k24,15,lung
ach-000370,HC_avg_k24,15,central_nervous_system
ach-001630,HC_avg_k24,8,ovary
ach-000437,HC_avg_k24,15,central_nervous_system
ach-000498,HC_avg_k24,13,blood
ach-001392,HC_avg_k24,9,breast
ach-000503,HC_avg_k24,9,upper_aerodigestive
ach-002778,HC_avg_k24,15,bone
ach-000328,HC_avg_k24,15,central_nervous_system
ach-000403,HC_avg_k24,9,colorectal
ach-000400,HC_avg_k24,9,colorectal
ach-000224,HC_avg_k24,15,fibroblast
ach-000318,HC_avg_k24,9,esophagus
ach-003472,HC_avg_k24,2,thyroid
ach-001430,HC_avg_k24,21,bone
ach-000928,HC_avg_k24,8,uterus
ach-000893,HC_avg_k24,5,lung
ach-000889,HC_avg_k24,13,plasma_cell
ach-000799,HC_avg_k24,14,skin
ach-001623,HC_avg_k24,15,central_nervous_system
ach-000736,HC_avg_k24,9,gastric
ach-000876,HC_avg_k24,9,breast
ach-001232,HC_avg_k24,15,central_nervous_system
ach-001618,HC_avg_k24,13,blood
ach-001828,HC_avg_k24,13,lymphocyte
ach-002650,HC_avg_k24,9,lung
ach-000235,HC_avg_k24,9,pancreas
ach-000381,HC_avg_k24,9,colorectal
ach-001993,HC_avg_k24,13,blood
ach-001301,HC_avg_k24,21,peripheral_nervous_system
ach-000854,HC_avg_k24,13,plasma_cell
ach-000187,HC_avg_k24,21,lung
ach-000543,HC_avg_k24,15,central_nervous_system
ach-000569,HC_avg_k24,15,lung
ach-000668,HC_avg_k24,9,breast
ach-000134,HC_avg_k24,15,fibroblast
ach-000924,HC_avg_k24,5,lung
ach-003473,HC_avg_k24,15,soft_tissue
ach-001450,HC_avg_k24,13,lymphocyte
ach-000296,HC_avg_k24,20,colorectal
ach-002034,HC_avg_k24,21,lung
ach-002781,HC_avg_k24,19,bone
