merge_key_value,collapse_on_value,reason
ach-000703,wes,duplicate modelid+datatype pair in aux table
ach-000885,wes,duplicate modelid+datatype pair in aux table
ach-000890,wes,duplicate modelid+datatype pair in aux table
ach-000663,wes,duplicate modelid+datatype pair in aux table
ach-001344,wes,duplicate modelid+datatype pair in aux table
ach-000995,wes,duplicate modelid+datatype pair in aux table
ach-000135,wes,duplicate modelid+datatype pair in aux table
ach-000414,wes,duplicate modelid+datatype pair in aux table
ach-000800,wes,duplicate modelid+datatype pair in aux table
ach-000337,rna,duplicate modelid+datatype pair in aux table
ach-000005,wgs,duplicate modelid+datatype pair in aux table
ach-001443,wes,duplicate modelid+datatype pair in aux table
ach-001332,wes,duplicate modelid+datatype pair in aux table
ach-000193,wes,duplicate modelid+datatype pair in aux table
ach-000055,wes,duplicate modelid+datatype pair in aux table
ach-001321,wes,duplicate modelid+datatype pair in aux table
ach-000337,rna,duplicate modelid+datatype pair in aux table
ach-002029,wes,duplicate modelid+datatype pair in aux table
ach-000662,wes,duplicate modelid+datatype pair in aux table
