HGNC ID	Approved symbol	Previous symbols	Alias symbols	Ensembl gene ID	Locus group
HGNC:54674	ACER2P1			ENSG00000180105	pseudogene
HGNC:16066	ACER3	PHCA	FLJ11238, APHC	ENSG00000078124	protein-coding gene
HGNC:58067	ACER3-AS1			ENSG00000254988	non-coding RNA
HGNC:108	ACHE	YT		ENSG00000087085	protein-coding gene
HGNC:17066	ACIN1	ACINUS	KIAA0670, fSAP152	ENSG00000100813	protein-coding gene
HGNC:4035	ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	ENSG00000213088	protein-coding gene
HGNC:1565	ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	ENSG00000144648	protein-coding gene
HGNC:23692	ACKR3	CMKOR1, CXCR7	RDC1, GPR159	ENSG00000144476	protein-coding gene
HGNC:1611	ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	ENSG00000129048	protein-coding gene
HGNC:21142	ACKR4P1	CCRL1P, CCRL1P1	dJ509I19.4	ENSG00000225415	pseudogene
HGNC:13708	ACKR5	ADMR, GPR182	hrhAMR, G10D, AM-R	ENSG00000166856	protein-coding gene
HGNC:115	ACLY		ATPCL, CLATP, ACL	ENSG00000131473	protein-coding gene
HGNC:19288	ACMSD			ENSG00000153086	protein-coding gene
HGNC:34504	ACNATP	BAATP1		ENSG00000227411	pseudogene
HGNC:117	ACO1	IREB1	IRP1, IREBP	ENSG00000122729	protein-coding gene
HGNC:118	ACO2		ACONM	ENSG00000100412	protein-coding gene
HGNC:56989	ACO2P1			ENSG00000235485	pseudogene
HGNC:56990	ACO2P2			ENSG00000235371	pseudogene
HGNC:33904	ACOD1	IRG1	CAD	ENSG00000102794	protein-coding gene
HGNC:33128	ACOT1		ACH2, CTE-1, LACH2	ENSG00000184227	protein-coding gene
HGNC:18431	ACOT2		Mte1, ZAP128	ENSG00000119673	protein-coding gene
HGNC:19748	ACOT4		FLJ31235, PTE-Ib, PTE2B	ENSG00000177465	protein-coding gene
HGNC:58578	ACOT4P1			ENSG00000267142	pseudogene
HGNC:33159	ACOT6	C14orf42		ENSG00000205669	protein-coding gene
HGNC:24157	ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	ENSG00000097021	protein-coding gene
HGNC:15919	ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1	ENSG00000101473	protein-coding gene
HGNC:17152	ACOT9		CGI-16, MT-ACT48, ACATE2	ENSG00000123130	protein-coding gene
HGNC:18156	ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	ENSG00000162390	protein-coding gene
HGNC:24436	ACOT12		Cach, THEAL, STARD15	ENSG00000172497	protein-coding gene
HGNC:59089	ACOT12-DT			ENSG00000300735	non-coding RNA
